"met","share_Z1","share_Z2","share_Zs","share_C","share_noise"
"met_1",0.746705710948381,0,0.198397750160099,0.0548955454182925,9.93473228130023e-07
"met_2",0.792438559243391,0,0.102017069720561,0.105543425501768,9.45534279933118e-07
"met_3",0.837546307728581,0,0.105199649254666,0.05725304814206,9.94874693174995e-07
"met_4",0.5123454393898,0,0.294184164299944,0.0738732349465215,0.119597161363734
"met_5",0.848731703712287,0,0.0809872475055564,0.0702800583090643,9.90473092547237e-07
"met_6",0.757984714181416,0,0.231656250581653,0.0103580378834845,9.973534465132e-07
"met_7",0.691700416281601,0,0.158628807345009,0.0496249485835411,0.100045827789849
"met_8",0.692067763616725,0,0.181127633896571,0.126803608440682,9.94046022767661e-07
"met_9",0.718515669587283,0,0.199210855826077,0.0822724812690713,9.93317569007862e-07
"met_10",0.596748630284693,0,0.0979892762766373,0.0615968377252867,0.243665255713383
"met_11",0.447406293478232,0,0.1166712238198,0.155870230264068,0.2800522524379
"met_12",0.389634211563364,0,0.202332479983292,0.192654362818477,0.215378945634866
"met_13",0.636256074006292,0,0.0957578388217121,0.0317653989663023,0.236220688205693
"met_14",0.723303172700305,0,0.193797115358678,0.0828987503124064,9.61628610623459e-07
"met_15",0.778146757709396,0,0.147926356225733,0.0739258969605649,9.89104305902166e-07
"met_16",0.710268153573775,0,0.174548683392689,0.11518220434964,9.58683895683143e-07
"met_17",0.497193809526075,0,0.0786110413957949,0.0627054238503172,0.361489725227813
"met_18",0.721465951047202,0,0.256818476618648,0.0217145778240677,9.94510082023988e-07
"met_19",0.297007196355305,0,0.229403955375958,0.0342426142568902,0.439346234011847
"met_20",0.740196637094774,0,0.132769036733722,0.12703333067383,9.95497673500861e-07
"met_21",0.726349825804624,0,0.185578818288979,0.088070358978068,9.96928329310269e-07
"met_22",0.654922438245764,0,0.0796812194773329,0.0838634082073686,0.181532934069535
"met_23",0.378212257027733,0,0.171681850573052,0.0142937973601643,0.43581209503905
"met_24",0.803332399202148,0,0.146603573984369,0.0500630408881579,9.8592532514467e-07
"met_25",0.559898173661898,0,0.392883094057803,0.0472177392768108,9.93003487874288e-07
"met_26",0.399028764701641,0,0.131897513300863,0.096282020981472,0.372791701016024
"met_27",0.646950619926346,0,0.178065684569544,0.171549071828873,0.00343462367523639
"met_28",0.236637277686895,0,0.248777243643523,0.0455384364852895,0.469047042184293
"met_29",0.886810769150517,0,0.0501749471517488,0.0630133132344542,9.70463279744539e-07
"met_30",0.734139687233686,0,0.172099248528804,0.0937600927632622,9.71474247855317e-07
"met_31",0.0444083945763331,0.916154412953192,0.0227933059978505,0.016642894649286,9.91823338097415e-07
"met_32",0.0920581698867119,0.752568257580382,0.0658087334693595,0.0895638828624727,9.56201073645775e-07
