"sim","C_1","C_2","C_3","C_4","C_5"
1,-2.345400319298,-0.140103733154621,1.58340351004893,-0.177450425763837,0.303841801359532
2,0.197793128216327,0.833536289080857,0.733542633540614,-0.813174815038506,1.10455326047212
3,-1.99683715025919,-1.49843569185612,0.727558147436896,0.508402388128627,-0.463242739979752
4,0.532985709807915,-1.74634213600207,0.10919116310833,-1.23872886851774,-0.449224876542088
5,0.518964115110381,1.50512105252938,0.021250208215283,0.438688534193778,-1.08660230872284
6,1.63026633128407,1.10278625069981,-0.725573063487717,-0.613564217214242,1.0775491157381
7,-1.08838814794077,1.73508609734217,1.57221222946184,-1.21882543382369,-0.113617988620793
8,-0.779953916961483,0.512123220230959,-0.124682692808448,0.952304825262968,0.205244940414205
9,-0.918263276059912,0.0169475316247991,0.664492152119059,1.28109920722527,-0.231769513308929
10,-0.288940475103271,-0.911585378674801,0.68303025586384,-1.05845602604852,1.52576507815599
11,-0.613668587283576,0.258357487122643,-0.957294906440878,0.341418950841151,-2.52124470353706
12,1.20600072606869,-0.883344129835105,-1.28437131389516,-1.32150014845182,1.07284898156839
13,-0.572252784136959,-1.12159812717682,0.956333840693848,-0.652535936571648,-1.33188332179972
14,1.94946080869798,0.692177438704041,0.224912379700099,-0.579396023429398,0.351298903223581
15,-0.432556200063555,0.903757607759984,-0.513977636735897,-0.181857030539699,-1.29882523686872
16,1.27419209474714,-1.09035650548263,-0.295189435018244,-0.957870626841382,-1.26937715281683
17,-0.887919174451538,0.420374291569925,-0.828756314264969,-0.634357680513813,-0.876307166323779
18,-0.233641591515213,-0.804169687394874,-2.28904721520868,0.540267954112003,0.559107458436928
19,0.814156406749133,-0.0817934975362782,1.57036738214141,1.42118528800638,0.110677523741583
20,-1.29244147624006,-0.444348196487836,-2.53065013123742,1.20315681670615,1.10237612535547
21,1.40026456633324,0.335574772573387,1.37095496784451,1.56002714786646,-0.206522743698762
22,-0.208053048572931,0.853690946713495,-0.895601632591189,-1.2729232206945,1.0296044496801
23,0.0622525902262449,0.249630622648369,0.819861106237212,1.79253161667124,-0.265202239608135
24,-0.463566213631414,1.24043815827964,0.868754010460166,0.383219950938769,-0.0460625838702777
25,-0.394494305524705,0.378351368350867,-0.305441688800358,0.558246758408175,-1.39353232571224
26,-0.11061699880182,0.905793144310407,-0.150458650285444,-1.41479755515404,-1.49700649749674
27,0.467235644139051,-0.337869481381791,-0.983073574214739,-0.967875017412159,0.142387547808203
28,-0.598034325108249,0.00658973780832105,0.765183941787599,-0.414160258160323,-1.04867775940692
29,1.97426019871735,1.02316183611535,1.08397513686752,-1.91301106066634,1.96402761991019
30,-0.0242607238235269,0.723052336280959,-0.29126239650159,-0.966740167120424,0.219577475851403
31,-0.925279309607197,-0.764070498708525,2.46233970025136,-1.29058610873752,-0.477389206061321
32,1.43479187933959,1.3137679325393,1.28740244535836,-0.0417126143999043,0.754488576299828
33,-1.03666236159581,-1.68759849795784,-0.651809474226243,0.640200541662673,-2.05204376273672
34,0.907404624987226,-0.189980519808536,1.06295147157181,-0.555430320544516,-0.840788337951637
35,0.0862472780739472,0.356154286214735,0.167158154719216,-0.906200648074509,-0.48900228567181
36,-1.41155310745328,-1.38155629891948,1.79769488404711,-1.0953880150922,1.86527594627081
37,0.584043863073245,0.478460755128515,-1.19343256630601,-0.388126105986619,0.781205504870084
38,1.11318133684247,-0.918948995078517,0.74722912786636,0.717367573852971,-1.44269281285493
39,0.350340364301934,-0.291117832732908,-0.406592034672557,-0.861324433712471,1.10352318646846
40,-0.0871327768523315,-0.574615789723817,0.016032393186396,-0.448236788149221,0.914576439336468
41,0.735425403868926,0.64206419800833,-0.981380858732275,-2.69105487344206,-0.491715791234468
42,0.270233215503374,0.745724174282975,1.24220386106168,-0.546773818199688,2.30956918062006
43,-1.60544488931748,-0.0296677708026381,-0.902343487025375,-0.202851698738733,0.611460757132979
44,-0.14753682967166,-1.26029555721092,-0.321572550338567,0.549455492350701,-0.426275012185072
45,1.38991117070151,-0.620365475440317,-1.66684151535861,0.805757910108435,1.02071358595325
46,1.34183608193493,-0.0433101098456965,0.116867060923683,-1.64926172402231,2.18410519258391
47,-1.32551462711973,0.248579773664415,0.500409548320342,-0.224128587845373,0.503012875602942
48,0.0812088511854308,0.776231849434914,0.15804866604211,2.28922649527411,-1.27508764495417
49,3.79021662139751,0.904063301540343,-1.02661392506714,0.484504025871195,0.479677202843121
50,0.491568799692343,-0.127728926637131,-0.457873251458764,2.35959799059482,-1.13200438755875
51,1.12015454859045,1.21359713029387,0.755526500605658,-0.26034047832389,-1.60404697014421
52,-1.53260518544784,1.70308514686464,-0.564312785458357,0.858142987234669,-1.54661007616518
53,-0.501265994744348,-0.590785077392511,-0.595746443615733,-0.858776232909948,-0.0168598587753777
54,1.02224212105855,-0.614448452118811,1.03168893493953,-0.364882414712296,-0.342811512823136
55,1.23859768621097,-0.312374764308233,-0.764107410181031,-1.17627995880929,0.905290789525098
56,-1.78917130012261,-0.767997062861993,1.52470968902096,0.362791592804218,-0.395965413098069
57,-0.910352740991949,0.74660659863002,0.324160385433901,0.66244377588764,-0.335442790432605
58,-0.471349068745872,0.472717862635219,0.351594232856217,0.823008544740733,-0.311421749931963
59,-0.238736394604274,1.56412702948447,-0.467305665335662,0.0753519854135019,-1.70527254598521
60,0.359760519635212,0.350763151475981,1.34535632212325,0.582261918592438,-0.119395594500772
61,1.46074188010396,-0.321928411699956,-0.970216173563629,0.203932690337234,0.336228631960507
62,2.08257417563989,-0.962737738659076,-0.103890901597043,1.96745762724819,-1.76362442509542
63,0.500422738005211,-0.31505923068665,-0.299815785034134,0.254707219412346,0.403056623388607
64,-1.27201327058126,-0.517255261172524,1.05369369511653,0.338929238508442,1.68730367716218
65,0.25164197679922,-1.37568283796377,0.448303365104622,-0.102096831660902,0.486276490246377
66,-1.20343836947265,0.481889338854232,0.835289266970004,-0.124132623300104,2.2374960565885
67,-0.271316709490199,-0.147725734092096,-0.605429235333098,0.822029583628309,-0.739221776109477
68,-0.318672166105364,-0.751779121348598,-1.44897337986452,1.37115931392186,-1.31020841849113
69,0.0521624345778231,-0.826738352734865,-0.158621506469318,0.653686675208879,0.623901667575822
70,-0.0667822773312241,0.115217981728055,-1.17051799620199,0.0273968391196219,-1.0838795007482
71,0.18914079779875,1.52826853672297,0.924005866252112,0.695259911914788,-0.068922586079142
72,0.998399329270201,0.460632093040168,-0.272125852423747,-0.632088885420543,-2.76209650495625
73,0.0335385325522148,0.975460362389222,-0.137603778662613,0.169940683581503,0.538877379150926
74,-1.01020139916504,0.53849809622936,0.117769979739709,-1.80007306160341,-0.233814483172517
75,-0.833688054154067,-0.29926173304033,-0.966572913197933,-1.0058250971406,-0.71724837892111
76,1.15276974823764,0.179215652288175,0.698478306862785,1.31036970930147,0.952056688624448
77,1.39278856308736,-1.70131395268055,1.31742208424228,0.360231259923924,-0.945169528851715
78,0.886427761386145,-2.41561379174788,0.145764676988957,-0.546571425180049,0.474770671368303
