"met","share_Z1","share_Z2","share_Zs","share_noise"
"met_1",0.915727716563855,0,0.084271283436145,1.00000000002876e-06
"met_2",0.903766207894509,0,0.0962327921054915,9.99999999806711e-07
"met_3",0.574837052548883,0,0.323636180036606,0.101526767414511
"met_4",0.620102944214503,0,0.154364044023401,0.225533011762096
"met_5",0.267515513373593,0,0.119674877627962,0.612809608998444
"met_6",0.863999241373887,0,0.135999758626113,9.99999999917733e-07
"met_7",0.469849645769328,0,0.105284649753965,0.424865704476708
"met_8",0.831435801690831,0,0.168563198309169,1.00000000002876e-06
"met_9",0.694118273094665,0,0.235600486844237,0.0702812400610981
"met_10",0.292306905517021,0,0.368271110359538,0.33942198412344
"met_11",0.124629276094439,0.836158945060127,0.0392107788454339,9.99999999917733e-07
"met_12",0.0709663536798579,0.904923117911123,0.018344759061063,0.00576576934795603
"met_13",0.111896313007804,0.806885262102592,0.0812174248896039,1.00000000002876e-06
"met_14",0.0936183765595865,0.874065182436822,0.0323154410035914,1.0000000002508e-06
"met_15",0.0450960466066556,0.174685052014971,0.110123973000813,0.670094928377561
"met_16",0.179161896169892,0.58695377172013,0.136431596076753,0.0974527360332249
"met_17",0.0884407701711916,0.768894678039695,0.142663551789113,1.0000000002508e-06
"met_18",0.0720550936276849,0.627586494339695,0.134689632192676,0.165668779839944
"met_19",0.0800511695851872,0.352456709208099,0.0875254471649069,0.479966674041807
"met_20",0.0302507411950895,0.865564289669997,0.104183969134914,9.99999999695689e-07
"met_21",0.0966248677228344,0.153629156488175,0.534111759242627,0.215634216546364
"met_22",0.0978050960063628,0.233762027997352,0.346039413139382,0.322393462856904
"met_23",0.098927465683875,0.175081987103331,0.597532234057717,0.128458313155076
"met_24",0.228022954320359,0.288689326241136,0.483286719438505,1.00000000002876e-06
"met_25",0.140766035449856,0.267774780863371,0.379996479502846,0.211462704183928
"met_26",0.159786697525832,0.09595360997906,0.744258692495108,1.00000000013978e-06
"met_27",0.0972923203503201,0.22490555341303,0.115683180396119,0.562118945840531
"met_28",0.222752171940291,0.0789828535643337,0.501211507039101,0.197053467456274
"met_29",0.233525434182197,0.0462854592720283,0.720188106545775,1.00000000002876e-06
"met_30",0.203032358797756,0.222303348094614,0.212802107674097,0.361862185433533
"met_31",0,0,0,1
"met_32",0,0,0,1
