"sim","rep","met_1","met_2","met_3","met_4","met_5","met_6","met_7","met_8","met_9","met_10","met_11","met_12","met_13","met_14","met_15","met_16","met_17","met_18","met_19","met_20","met_21","met_22","met_23","met_24","met_25","met_26","met_27","met_28","met_29","met_30","met_31","met_32"
1,1,-2.20878868398039,-0.509433565148661,0.16249238310029,-2.41267264943558,-0.157681944472075,-0.887523422019046,-0.185037392359178,-1.22212132013205,0.288242862596244,-1.71790541913532,-1.47948757737719,-0.203680068254748,-0.460975885485876,-0.527308491190329,0.537334586877536,-0.221689864362697,0.298586309087487,0.384185701752413,0.325467204414589,0.31199230184643,-2.02218324666792,-1.72413476685735,-0.564302500457036,-1.30852675214764,0.227319317418958,-1.99391656137556,-0.871825154763398,-0.220483125482333,0.886843842084051,0.35040357250798,-1.03858791770115,-0.147816358645355
2,1,2.21648626212352,1.73076569798867,1.44469942093884,1.06903821634468,0.588820137076108,2.06658724873815,0.846633186900969,1.86537305950396,1.47013642107664,0.249416792053498,0.11444011988218,1.01933877697407,0.0561005468562032,-0.829056675904391,1.14090884518986,0.287962398698429,-0.929240236332566,1.02678767558218,0.669676841324097,-0.19414870408199,0.913798215708592,0.265591361316805,0.822399150854406,0.101823014768144,1.2378664754874,1.18639578719957,-0.376934335245249,0.19928895585903,1.55463585683763,-0.559493499528334,0.26115557258101,1.4162652571581
3,1,0.0513203044167889,-1.00553953120225,-0.127429967580619,-0.112486765079988,-0.011779963940996,0.623648792545494,0.95307585386132,-0.337164051664285,-0.255367489130377,-0.0220407531814725,0.28438289838814,0.685416413096845,0.499442069081922,-1.11963579057995,-1.08574186476664,-0.137425368681259,0.439520592070901,0.665408046639392,-0.0331692258240645,-0.474012633925158,0.103364318644868,0.969637007581418,0.910249087004991,0.0501826554788625,-0.265290630251124,0.897604669600214,0.726707923221553,0.100377636142144,-0.417523569188409,0.262589777696065,2.21528042223781,-0.0413717561597188
4,1,-0.33056611223608,0.589447623496657,0.778703833495588,0.665467491090056,-0.413969962970586,-0.485367933274541,-1.11926858628831,-1.94563284819817,-2.17692516421506,-1.98014309652666,0.348729427286253,-0.833658908911641,0.825555093181548,-0.0980758498884729,-0.601324799731825,0.264293375754011,-0.480659523979777,-0.296321805201568,1.14262072657701,-1.19980478122685,0.239063879441521,1.32068302311202,1.10872886408303,-0.833201071209998,0.435536891239259,-1.06062597216888,0.13804654409629,0.231986128724761,-1.80214617283124,0.679841803869582,1.61715727353159,0.790882301233882
5,1,-0.550357148531424,0.496487871951302,-0.726986626399163,-1.00399670937479,0.188986160057748,-0.0835670192001404,-0.123017420697903,-0.118930644411501,-1.17351036424514,-0.821035919425073,-0.634961299254512,-0.637685830610522,0.519236770930436,0.876692551189253,-0.603032650045702,-0.67992607582416,-0.613429991797331,2.80111903661613,0.227204095259771,0.636599495184745,0.262049039481731,-0.188551914121807,0.914410606164751,-0.841722378964598,0.526806171760905,-1.32126721071896,-0.408651552110566,-1.34229206187819,-1.89597982749142,-0.395580841433216,1.30115010633031,-1.02535419793132
6,1,1.10175879545085,1.1945420868268,1.01460387862754,-1.01347673096098,0.14389005602614,0.281161029989907,-0.950486144600802,0.37373403465186,0.316329901317204,-0.192148245928204,-1.00538217031605,-0.187359187340069,-0.494198393647637,0.0438854724089399,1.02033602747461,0.985699525395777,0.80863744965961,-0.152843577341771,-0.548742010780112,-0.935449894509082,-1.42785970973193,-0.484546276424625,0.406217082579846,-0.364603488614767,0.559935804652655,-2.80034021447645,-0.585312287959194,-0.274141565323805,0.321557287026019,-0.79615045504169,-0.8158256902226,2.33476531770494
7,1,-0.206002673430494,-0.792778029386486,0.272384777963438,0.919300004278798,0.706620382806234,-0.692056151734189,0.442363221901792,0.264331523441255,-0.106696077909203,0.0199066943950347,-0.289046764275417,0.821342400766281,0.381720549161917,0.457977478650934,0.485171560510131,0.38810781468071,-0.234378481694654,0.365683199373388,-0.857443079406089,0.543522089452023,0.566678267263548,1.40036321685679,0.651734803616905,-0.960661126813027,-1.00724869850788,1.02285837408775,-0.210173790168881,-0.888266339245488,1.15795431694607,1.08414527792235,-1.09150273136095,1.19975954608694
8,1,0.310615330980711,2.74390567963013,4.01558738835691,1.32720006406856,1.66345086214057,2.20056840287355,-0.347811856280015,0.486693790838311,0.333818563587888,2.97808583556029,-1.51017869610105,0.180245750658836,-1.76721132717169,-0.741614960165683,0.471866502320339,2.48730223207459,-0.888506386753019,-1.0057588214034,-0.407716038654747,0.591347370563384,0.178486850516693,-1.77703190897229,0.103180441052275,-0.559650693667334,1.89470761345112,-0.948376027213827,0.344387763855331,0.0204295105672014,0.880927767291731,1.27440519430752,0.620055927590511,-0.2180120687869
9,1,-0.0591475826561938,0.0482816894787257,0.901420489481987,0.874986947017878,-0.472068037790556,0.573883511314398,0.155049321350133,-0.39555534344118,0.289927637489702,0.245943446574746,0.423462578731878,0.684548106704073,0.0294411145629157,0.742894723593775,-0.273915108113792,-0.350704472008961,-1.08139818395084,0.0801199729066494,0.252970178902221,-0.512715450314771,-0.298951531948902,1.01665897450797,-0.544594321985147,0.677859192609118,0.569572994751431,1.42114412158429,-0.410855950781122,1.3415565056209,-1.02831816954153,0.401784637394626,1.26786173775423,-1.586270333366
10,1,-0.191804899879052,1.18432707394393,-0.0922350951836317,0.202738027489231,-1.13746684019598,0.81005464561556,-1.20987368686068,-0.243583817377274,0.0722807850035001,1.45268508666768,-1.08989921122343,-0.479849339872471,0.780655047451186,1.23174713412435,-0.303374966858379,-0.72639296107021,-1.84369338930805,1.27604907166615,0.377375166198432,0.226926205014161,-0.0390508130492799,-0.852580581547238,0.49276146323063,-0.41012029404587,-1.94176938507617,0.77595855156369,-2.74461139730686,0.512708364586949,1.79928498188874,-0.802515872841954,-0.279312064139125,-0.230443198874811
