"met","share_Z1","share_Z2","share_Zs","share_noise"
"met_1",0.626802356794037,0,0.179748022958457,0.193449620247506
"met_2",0.655946759919335,0,0.232314552929089,0.111738687151575
"met_3",0.756097148904779,0,0.0704489910720633,0.173453860023158
"met_4",0.779513714445728,0,0.220485285554272,1.00000000002876e-06
"met_5",0.71142111011941,0,0.28857788988059,1.00000000013978e-06
"met_6",0.512063962418742,0,0.118965373739126,0.368970663842132
"met_7",0.659761401715082,0,0.340237598284918,1.00000000013978e-06
"met_8",0.456504364842969,0,0.134789578438596,0.408706056718436
"met_9",0.772547266002263,0,0.227451733997737,1.00000000002876e-06
"met_10",0.916921754219729,0,0.0830772457802714,9.99999999806711e-07
"met_11",0.578364153733755,0,0.385435007068242,0.0362008391980027
"met_12",0.393679384309643,0,0.28447744594258,0.321843169747777
"met_13",0.807082665683385,0,0.192916334316615,1.0000000002508e-06
"met_14",0.799938181948187,0,0.200060818051812,1.00000000013978e-06
"met_15",0.589327022428802,0,0.137384235473995,0.273288742097203
"met_16",0.537390686197331,0,0.160707267697522,0.301902046105148
"met_17",0.816001254088382,0,0.183997745911618,1.0000000002508e-06
"met_18",0.918965217801152,0,0.0810337821988476,1.00000000002876e-06
"met_19",0.708102479999798,0,0.219271277796635,0.0726262422035672
"met_20",0.795479049974267,0,0.12531399280478,0.0792069572209524
"met_21",0.90257292101418,0,0.0974260789858203,1.00000000013978e-06
"met_22",0.42419921567661,0,0.200448211915573,0.375352572407817
"met_23",0.857164758265613,0,0.142834241734386,1.00000000013978e-06
"met_24",0.74217676992815,0,0.0846396086465609,0.173183621425289
"met_25",0.784875307410763,0,0.141527343158005,0.0735973494312321
"met_26",0.349914023479067,0,0.243491471053235,0.406594505467698
"met_27",0.691456783124574,0,0.141172050349467,0.167371166525959
"met_28",0.747349490832436,0,0.170210793978432,0.0824397151891318
"met_29",0.761540563111557,0,0.238458436888443,1.0000000002508e-06
"met_30",0.800787404339194,0,0.153983752882832,0.0452288427779741
"met_31",0.195368547247697,0.357863120647792,0.0590756563413727,0.387692675763138
"met_32",0.0864624929850882,0.820774980534712,0.0927615264802,9.99999999917733e-07
"met_33",0.0587357710073683,0,0.0469877561737682,0.894276472818863
"met_34",0.076630731822384,0.855704325834682,0.0192956084789652,0.048369333863969
"met_35",0.0684745592046019,0.066939554967358,0.146454120529872,0.718131765298168
"met_36",0.0695098256446855,0.314175025468923,0.101296271760834,0.515018877125558
"met_37",0.0948467190633359,0.0375793574665977,0.098690343282448,0.768883580187618
"met_38",0.0663657147966107,0.381020877314,0.185720548448556,0.366892859440833
"met_39",0.11390826872164,0.0248050221829378,0.0301374055359458,0.831149303559476
"met_40",0.0819952086814344,0.897130285431722,0.0208735058868441,9.99999999917733e-07
"met_41",0.088360489583169,0.346948478232376,0.0894715637169038,0.475219468467551
"met_42",0.0185830204687509,0.939965334896464,0.0414506446347852,1.00000000013978e-06
"met_43",0.118969698234545,0.28476109713943,0.0994390422490078,0.496830162377017
"met_44",0.0389309235944478,0.936402023283495,0.0246660531220575,9.99999999806711e-07
"met_45",0.0767467421928282,0.878039169918702,0.0452130878884699,1.00000000002876e-06
"met_46",0.0955698161012805,0.248166269628675,0.157277051370602,0.498986862899442
"met_47",0.115460612242699,0.729972360261102,0.154566027496199,1.00000000036182e-06
"met_48",0.073349805810853,0.870772850591783,0.0558763435973643,1.00000000013978e-06
